RecordDate,CountryCurrency,ExchangeRate
31/03/2021,australia-dollar,1.313
31/03/2021,bahamas-dollar,1
31/03/2021,bangladesh-taka,85
31/03/2021,bolivia-boliviano,6.86
31/03/2021,canada-dollar,1.26
31/03/2021,chile-peso,725.28
31/03/2021,china-renminbi,6.547
31/03/2021,cote d'ivoire-cfa franc,562.06
31/03/2021,croatia-kuna,6.26
31/03/2021,ethiopia-birr,41.317
31/03/2021,fiji-dollar,2.035
31/03/2021,iceland-krona,126.1
31/03/2021,india-rupee,73.154
31/03/2021,indonesia-rupiah,14542
31/03/2021,jamaica-dollar,145
31/03/2021,korea-won,1128.46
31/03/2021,nepal-rupee,115.7
31/03/2021,philippines-peso,48.515
31/03/2021,qatar-riyal,3.64
31/03/2021,rwanda-franc,980
31/03/2021,sweden-krona,8.717
31/03/2021,switzerland-franc,0.944
31/03/2021,taiwan-dollar,28.454
31/03/2021,thailand-baht,31.26
30/06/2021,australia-dollar,1.334
30/06/2021,bahamas-dollar,1
30/06/2021,bangladesh-taka,85
30/06/2021,bolivia-boliviano,6.85
30/06/2021,canada-dollar,1.239
30/06/2021,chile-peso,723.4
30/06/2021,china-renminbi,6.454
30/06/2021,cote d'ivoire-cfa franc,553.27
30/06/2021,croatia-kuna,6.11
30/06/2021,ethiopia-birr,43.691
30/06/2021,fiji-dollar,2.047
30/06/2021,iceland-krona,123.16
30/06/2021,india-rupee,74.317
30/06/2021,indonesia-rupiah,14537
30/06/2021,jamaica-dollar,148
30/06/2021,korea-won,1128.4
30/06/2021,nepal-rupee,118.45
30/06/2021,philippines-peso,48.84
30/06/2021,qatar-riyal,3.698
30/06/2021,rwanda-franc,980
30/06/2021,sweden-krona,8.514
30/06/2021,switzerland-franc,0.924
30/06/2021,taiwan-dollar,27.893
30/06/2021,thailand-baht,32.05
30/09/2021,australia-dollar,1.391
30/09/2021,bahamas-dollar,1
30/09/2021,bangladesh-taka,85
30/09/2021,bolivia-boliviano,6.83
30/09/2021,canada-dollar,1.274
30/09/2021,chile-peso,812
30/09/2021,china-renminbi,6.463
30/09/2021,cote d'ivoire-cfa franc,569.49
30/09/2021,croatia-kuna,6.25
30/09/2021,ethiopia-birr,46.101
30/09/2021,fiji-dollar,2.103
30/09/2021,iceland-krona,130.24
30/09/2021,india-rupee,74.289
30/09/2021,indonesia-rupiah,14313
30/09/2021,jamaica-dollar,150
30/09/2021,korea-won,1184.9
30/09/2021,nepal-rupee,118.45
30/09/2021,philippines-peso,51.006
30/09/2021,qatar-riyal,3.64
30/09/2021,rwanda-franc,980
30/09/2021,sweden-krona,8.786
30/09/2021,switzerland-franc,0.936
30/09/2021,taiwan-dollar,27.817
30/09/2021,thailand-baht,33.87
31/12/2021,australia-dollar,1.375
31/12/2021,bahamas-dollar,1
31/12/2021,bangladesh-taka,86
31/12/2021,bolivia-boliviano,6.82
31/12/2021,canada-dollar,1.277
31/12/2021,chile-peso,842.5
31/12/2021,china-renminbi,6.373
31/12/2021,cote d'ivoire-cfa franc,581.84
31/12/2021,croatia-kuna,6.45
31/12/2021,ethiopia-birr,49.132
31/12/2021,fiji-dollar,2.103
31/12/2021,iceland-krona,129.98
31/12/2021,india-rupee,74.343
31/12/2021,indonesia-rupiah,14195.28
31/12/2021,jamaica-dollar,155
31/12/2021,korea-won,1188.92
31/12/2021,nepal-rupee,119.35
31/12/2021,philippines-peso,51.03
31/12/2021,qatar-riyal,3.64
31/12/2021,rwanda-franc,1000
31/12/2021,sweden-krona,9.025
31/12/2021,switzerland-franc,0.914
31/12/2021,taiwan-dollar,27.707
31/12/2021,thailand-baht,33.4
31/03/2022,australia-dollar,1.336
31/03/2022,bahamas-dollar,1
31/03/2022,bangladesh-taka,86
31/03/2022,bolivia-boliviano,6.8
31/03/2022,canada-dollar,1.252
31/03/2022,chile-peso,787.5
31/03/2022,china-renminbi,6.342
31/03/2022,cote d'ivoire-cfa franc,584
31/03/2022,croatia-kuna,6.6
31/03/2022,ethiopia-birr,50.987
31/03/2022,fiji-dollar,2.07
31/03/2022,iceland-krona,127.75
31/03/2022,india-rupee,75.724
31/03/2022,indonesia-rupiah,14343.64
31/03/2022,jamaica-dollar,155
31/03/2022,korea-won,1213.79
31/03/2022,nepal-rupee,121
31/03/2022,philippines-peso,51.81
31/03/2022,qatar-riyal,3.64
31/03/2022,rwanda-franc,1000
31/03/2022,sweden-krona,9.313
31/03/2022,switzerland-franc,0.925
31/03/2022,taiwan-dollar,28.674
31/03/2022,thailand-baht,33.24
30/06/2022,australia-dollar,1.453
30/06/2022,bahamas-dollar,1
30/06/2022,bangladesh-taka,94
30/06/2022,bolivia-boliviano,6.81
30/06/2022,canada-dollar,1.292
30/06/2022,chile-peso,929.06
30/06/2022,china-renminbi,6.703
30/06/2022,cote d'ivoire-cfa franc,621.25
30/06/2022,croatia-kuna,6.93
30/06/2022,ethiopia-birr,51.994
30/06/2022,fiji-dollar,2.204
30/06/2022,iceland-krona,133.46
30/06/2022,india-rupee,79.01
30/06/2022,indonesia-rupiah,14990.667
30/06/2022,jamaica-dollar,150
30/06/2022,korea-won,1301.5
30/06/2022,nepal-rupee,126.1
30/06/2022,philippines-peso,55.015
30/06/2022,qatar-riyal,3.663
30/06/2022,rwanda-franc,1020
30/06/2022,sweden-krona,10.317
30/06/2022,switzerland-franc,0.957
30/06/2022,taiwan-dollar,29.784
30/06/2022,thailand-baht,35.35
30/09/2022,australia-dollar,1.547
30/09/2022,bahamas-dollar,1
30/09/2022,bangladesh-taka,103
30/09/2022,bolivia-boliviano,6.85
30/09/2022,canada-dollar,1.374
30/09/2022,chile-peso,960.1
30/09/2022,china-renminbi,7.114
30/09/2022,cote d'ivoire-cfa franc,673.48
30/09/2022,croatia-kuna,7.63
30/09/2022,ethiopia-birr,52.548
30/09/2022,fiji-dollar,2.27
30/09/2022,iceland-krona,144.39
30/09/2022,india-rupee,81.476
30/09/2022,indonesia-rupiah,15209.78
30/09/2022,jamaica-dollar,150
30/09/2022,korea-won,1436.66
30/09/2022,nepal-rupee,130.5
30/09/2022,philippines-peso,58.745
30/09/2022,qatar-riyal,3.678
30/09/2022,rwanda-franc,1030
30/09/2022,sweden-krona,11.177
30/09/2022,switzerland-franc,0.981
30/09/2022,taiwan-dollar,31.817
30/09/2022,thailand-baht,37.79
31/12/2022,australia-dollar,1.471
31/12/2022,bahamas-dollar,1
31/12/2022,bangladesh-taka,105
31/12/2022,bolivia-boliviano,6.86
31/12/2022,canada-dollar,1.354
31/12/2022,chile-peso,851.5
31/12/2022,china-renminbi,6.897
31/12/2022,cote d'ivoire-cfa franc,614.84
31/12/2022,croatia-kuna,6.87
31/12/2022,ethiopia-birr,53.339
31/12/2022,fiji-dollar,2.176
31/12/2022,iceland-krona,141.61
31/12/2022,india-rupee,82.599
31/12/2022,indonesia-rupiah,15528.42
31/12/2022,jamaica-dollar,150
31/12/2022,korea-won,1252.61
31/12/2022,nepal-rupee,132.25
31/12/2022,philippines-peso,55.606
31/12/2022,qatar-riyal,3.64
31/12/2022,rwanda-franc,1060
31/12/2022,sweden-krona,10.386
31/12/2022,switzerland-franc,0.923
31/12/2022,taiwan-dollar,30.648
31/12/2022,thailand-baht,34.52
